output_frame,source_rgb_frame,side,phase,solver_sample_index,solver_sample_age_ms,strict_timing_valid,all_10_correspondence_mean_mm,five_tip_mean_mm,five_base_mean_mm
0,0,left,calibration,267,2.9027059999862104,0,54.23195929086112,68.29630070747658,40.16761787424566
0,0,right,calibration,267,2.9027059999862104,0,59.69163500501325,75.05778879469251,44.325481215333994
1,1,left,calibration,269,20.37913733329333,0,53.58411833049958,67.29061190290912,39.877624758090036
1,1,right,calibration,269,20.37913733329333,0,58.725091480914465,73.62421323901725,43.825969722811706
2,2,left,calibration,269,54.02443666662293,0,53.37473492709356,66.93596954321593,39.81350031097118
2,2,right,calibration,269,54.02443666662293,0,58.58443292287187,73.34967731281685,43.81918853292688
3,3,left,calibration,270,29.097357999944506,0,51.04447260291375,63.245836161825046,38.84310904400246
3,3,right,calibration,270,29.097357999944506,0,55.95022656050003,69.10512500957763,42.79532811142242
4,4,left,calibration,270,4.6950495000146475,1,50.836173225703895,62.8632704569528,38.80907599445499
4,4,right,calibration,270,4.6950495000146475,1,55.581467419015894,68.20797860676389,42.9549562312679
5,5,left,calibration,274,11.781625999901735,1,47.78244046943847,59.25572323409365,36.309157704783296
5,5,right,calibration,274,11.781625999901735,1,52.46028984451651,64.65256140358493,40.268018285448115
6,6,left,calibration,275,1.2652519999392098,1,48.09394269075723,59.21534621832524,36.97253916318921
6,6,right,calibration,275,1.2652519999392098,1,53.311991122077686,65.73207113329288,40.89191111086248
7,7,left,calibration,280,1.0253486666442768,1,46.678546779956505,57.31514053513085,36.04195302478216
7,7,right,calibration,280,1.0253486666442768,1,51.62283701531432,63.579051191899325,39.6666228387293
8,8,left,calibration,285,4.85411266686242,1,46.31301717848877,56.790012162204654,35.83602219477289
8,8,right,calibration,285,4.85411266686242,1,51.547776189642796,63.39993559827235,39.695616781013236
9,9,left,calibration,287,10.245490999977847,1,45.88592050509817,56.15424058156308,35.617600428633274
9,9,right,calibration,287,10.245490999977847,1,51.545507119674106,63.346384669605335,39.74462956974289
10,10,left,calibration,288,2.2279704999164096,1,45.78397359465556,55.821043145514764,35.74690404379637
10,10,right,calibration,288,2.2279704999164096,1,51.153909867148286,62.74592193021724,39.56189780407933
11,11,left,calibration,293,1.038195000091946,1,46.05366530076469,56.15331638226378,35.9540142192656
11,11,right,calibration,293,1.038195000091946,1,51.19747253840253,62.84239252861528,39.55255254818978
12,12,left,calibration,300,5.704222999838748,0,49.08629816353294,60.38109333310683,37.79150299395904
12,12,right,calibration,300,5.704222999838748,0,56.474296333418216,69.76383875261119,43.184753914225254
13,13,left,calibration,305,4.609551666817424,0,49.7153757535022,61.331215404794,38.09953610221039
13,13,right,calibration,305,4.609551666817424,0,58.44775349511112,72.51923924379591,44.376267746426365
14,14,left,calibration,307,20.46927366654927,0,49.803609961353445,61.60214455433587,38.00507536837101
14,14,right,calibration,307,20.46927366654927,0,59.70901828178218,74.34095904793394,45.0770775156304
15,15,left,calibration,308,5.525503000171739,1,50.02183128677801,61.98161723772131,38.062045335834725
15,15,right,calibration,308,5.525503000171739,1,61.32808257885317,76.54728089986534,46.10888425784099
16,16,left,calibration,315,2.5263669999731064,1,48.691346585384856,60.296100632243494,37.08659253852621
16,16,right,calibration,315,2.5263669999731064,1,62.09474511944232,77.7931940778756,46.39629616100905
17,17,left,calibration,320,1.9843200000195793,0,48.59747567404419,60.355526690485455,36.83942465760293
17,17,right,calibration,320,1.9843200000195793,0,62.37688106571905,78.36828954549694,46.385472585941145
18,18,left,calibration,321,27.14091500001814,0,49.83372823448971,62.05065180773719,37.616804661242234
18,18,right,calibration,321,27.14091500001814,0,63.0254193596263,79.31512650985628,46.73571220939632
19,19,left,calibration,322,6.34659999991527,1,50.50721789568767,63.02214650377202,37.99228928760329
19,19,right,calibration,322,6.34659999991527,1,61.97319831271331,78.32420572748177,45.62219089794483
20,20,left,calibration,327,0.6230545000107668,1,50.576383447826395,63.26628760434245,37.88647929131034
20,20,right,calibration,327,0.6230545000107668,1,61.768884122075065,78.27327009804787,45.26449814610227
21,21,left,calibration,330,1.6605809998964105,1,50.22365780652273,62.86338133314912,37.583934279896354
21,21,right,calibration,330,1.6605809998964105,1,61.36406924417495,77.86546675294005,44.86267173540983
22,22,left,calibration,332,16.14641199989819,1,50.938634310753514,63.88580709446999,37.99146152703703
22,22,right,calibration,332,16.14641199989819,1,61.859582720548076,78.52048893870409,45.19867650239209
23,23,left,calibration,333,1.387561999990794,1,50.893057299911426,63.95684358539664,37.82927101442622
23,23,right,calibration,333,1.387561999990794,1,61.68458883601227,78.30748466518577,45.06169300683876
24,24,left,calibration,338,1.973008499817297,1,51.583358781597326,64.99855580880697,38.16816175438769
24,24,right,calibration,338,1.973008499817297,1,61.22835672067015,77.6847908611942,44.771922580146125
25,25,left,calibration,343,6.068172999903254,1,52.028019891718486,65.63730801674639,38.418731766690584
25,25,right,calibration,343,6.068172999903254,1,61.366050170130165,77.8739106775294,44.85818966273097
26,26,left,calibration,345,17.930586999909792,1,52.156918897050915,65.80682296940508,38.50701482469677
26,26,right,calibration,345,17.930586999909792,1,61.56859340218087,78.15295145199647,44.98423535236527
27,27,left,calibration,346,6.804597000154899,1,53.16465509858549,67.20779599178324,39.121514205387726
27,27,right,calibration,346,6.804597000154899,1,62.13482907814557,78.86967031145903,45.3999878448321
28,28,left,calibration,349,2.5225680001312867,1,51.09857704872492,64.6624219785264,37.53473211892344
28,28,right,calibration,349,2.5225680001312867,1,60.01193068668137,76.13031010735997,43.893551266002774
29,29,left,calibration,353,1.8866689999867958,1,49.84623292045237,62.95210434076954,36.740361500135194
29,29,right,calibration,353,1.8866689999867958,1,58.86527030222131,74.5353896545153,43.19515094992732
30,30,left,calibration,354,9.540084500031298,1,50.746110433260526,64.15064194059758,37.34157892592348
30,30,right,calibration,354,9.540084500031298,1,59.42502145864089,75.25976036397745,43.59028255330433
31,31,left,calibration,355,16.284897000105047,1,50.438333478134425,63.96550415452032,36.91116280174853
31,31,right,calibration,355,16.284897000105047,1,58.882955269452296,74.58492484652518,43.180985692379394
32,32,left,calibration,359,1.967465500229082,1,48.37630769614614,61.282225647059775,35.47038974523251
32,32,right,calibration,359,1.967465500229082,1,56.405468606118276,71.36628387512707,41.44465333710949
33,33,left,calibration,362,6.492806999858658,1,48.419499895633024,61.37694148747469,35.462058303791366
33,33,right,calibration,362,6.492806999858658,1,55.325657989705235,69.92359769986449,40.72771827954599
34,34,left,calibration,363,7.435830500071461,1,47.48590757100584,60.13428035300251,34.837534789009176
34,34,right,calibration,363,7.435830500071461,1,53.34275614159301,67.0327665126741,39.652745770511906
35,35,left,calibration,366,0.6084789999931672,1,45.83887542107106,58.03307607982138,33.644674762320726
35,35,right,calibration,366,0.6084789999931672,1,50.13520331935736,62.860870684386406,37.40953595432832
36,36,left,calibration,369,4.8065245000543655,1,45.79993267835026,57.882173520367886,33.717691836332634
36,36,right,calibration,369,4.8065245000543655,1,48.949115589948164,61.19057330420385,36.70765787569248
37,37,left,calibration,373,7.678269000052751,1,45.40648245963667,57.37585912067605,33.43710579859731
37,37,right,calibration,373,7.678269000052751,1,47.78735788694938,59.55796331804104,36.01675245585771
38,38,left,calibration,374,16.328189999967435,1,44.804311523695006,56.483874049736755,33.12474899765326
38,38,right,calibration,374,16.328189999967435,1,46.58773618927022,57.650892415214216,35.52457996332621
39,39,left,calibration,376,0.0913920000584767,1,43.61149577522592,55.017444690204364,32.20554686024749
39,39,right,calibration,376,0.0913920000584767,1,43.56758095302105,53.60128319206609,33.533878713976
40,40,left,calibration,383,1.52470150010231,1,43.43720526717004,54.82079159337836,32.05361894096173
40,40,right,calibration,383,1.52470150010231,1,42.49923072380692,52.04997561364056,32.94848583397327
41,41,left,calibration,387,8.389632999978858,1,43.97575969001412,55.41978421858995,32.5317351614383
41,41,right,calibration,387,8.389632999978858,1,42.80608190557181,52.22986350233026,33.38230030881335
42,42,left,calibration,389,17.35925349998979,1,44.25479595273066,55.590627955761136,32.9189639497002
42,42,right,calibration,389,17.35925349998979,1,43.88778427776397,53.36386866549891,34.41169989002904
43,43,left,calibration,390,1.013046000025497,1,44.495578625133845,55.967556814733186,33.023600435534505
