output_frame,source_video_frame,source_video_nominal_pts_s,source_bag_elapsed_s,matched_clip_bag_elapsed_s,rgb_device_timestamp_us,cmavatar_target_timestamp_ns,mocap_low_frame_counter,mocap_high_frame_counter,mocap_low_timestamp_ns,mocap_high_timestamp_ns,interpolation_alpha,bracket_span_ms,nearest_mocap_sample_delta_ms,left_wrist_rgb_x,left_wrist_rgb_y,left_wrist_inside_frame,right_wrist_rgb_x,right_wrist_rgb_y,right_wrist_inside_frame
0,61,2.033333333333333,2.039401054382324,0.0,1788008896477200,1788008896841847296,391952,391953,1788008896834362368,1788008896842695936,0.8981804657549923,8.333683013916016,0.8485317230224609,1305.3378471879323,595.6747143494579,1,754.068756219482,588.4099142999894,1
1,62,2.066666666666667,2.072838068008423,0.03343701362609863,1788008896510637,1788008896875285504,391956,391957,1788008896867694336,1788008896876027392,0.9109896712540414,8.332967758178711,0.7417201995849609,1305.0331975205293,595.6704103197542,1,753.8373838112764,587.9209892301045,1
2,63,2.1,2.1062750816345215,0.06687402725219727,1788008896544074,1788008896908723712,391960,391961,1788008896901026816,1788008896909359616,0.9236931704386141,8.332967758178711,0.6358623504638672,1305.002788782222,595.5710291098783,1,753.6660208488811,588.1367694384495,1
3,64,2.1333333333333333,2.139704942703247,0.10030388832092285,1788008896577504,1788008896942155008,391964,391965,1788008896934359040,1788008896942692864,0.935458030554443,8.333683013916016,0.537872314453125,1304.9275187394626,595.7557584481211,1,753.6831124241771,588.5416952225814,1
4,65,2.1666666666666665,2.1731419563293457,0.13374090194702148,1788008896610941,1788008896975593216,391968,391969,1788008896967692288,1788008896976025088,0.9481545064377682,8.33272933959961,0.43201446533203125,1304.4557729679411,595.6548280451615,1,753.9456212530667,589.4594656400523,1
5,66,2.2,2.2065720558166504,0.16717100143432617,1788008896644371,1788008897009024256,391972,391973,1788008897001024512,1788008897009358336,0.9598912887998856,8.333921432495117,0.3342628479003906,1305.0956077003186,595.8866934784329,1,754.1496651329376,589.0384171749847,1
6,67,2.2333333333333334,2.240001916885376,0.20060086250305176,1788008896677801,1788008897042455296,391976,391977,1788008897034357760,1788008897042690816,0.9717318531658607,8.332967758178711,0.23555755615234375,1306.0947651144625,595.883355276354,1,754.2859205566701,588.685008497967,1
7,68,2.2666666666666666,2.2734310626983643,0.23403000831604004,1788008896711230,1788008897075885568,391980,391981,1788008897067690240,1788008897076022784,0.983519313304721,8.33272933959961,0.1373291015625,1306.7550006221654,595.4253815119398,1,754.5672337304396,588.1735007161922,1
8,69,2.3,2.3068690299987793,0.2674679756164551,1788008896744668,1788008897109324800,391984,391985,1788008897101022464,1788008897109356288,0.9962236081707387,8.333683013916016,0.03147125244140625,1306.863081050658,595.279330281027,1,755.0189960323803,588.1203084950803,1
9,70,2.3333333333333335,2.3402979373931885,0.30089688301086426,1788008896778097,1788008897142754816,391989,391990,1788008897142688512,1788008897151021312,0.007954220314735336,8.33272933959961,0.06628036499023438,1307.3986254797478,595.4820530388102,1,755.1957374181397,587.5114667666977,1
10,71,2.3666666666666667,2.373728036880493,0.33432698249816895,1788008896811527,1788008897176186112,391993,391994,1788008897176020736,1788008897184354560,0.019826057103621904,8.333683013916016,0.1652240753173828,1307.7986048786413,595.4714233614388,1,755.1991343045568,587.1390065047707,1
11,72,2.4,2.407165050506592,0.3677639961242676,1788008896844964,1788008897209624320,391997,391998,1788008897209354240,1788008897217686784,0.03241773962804006,8.33272933959961,0.2701282501220703,1307.8261032889322,595.3058813210645,1,755.273216004032,586.8831103577409,1
12,73,2.433333333333333,2.4405930042266846,0.40119194984436035,1788008896878392,1788008897243053312,392001,392002,1788008897242686208,1788008897251019264,0.04403307487625533,8.332967758178711,0.3669261932373047,1308.0454816629942,594.8013974459756,1,755.3751851924344,586.7426505199033,1
