output_frame,source_rgb_frame,mapping_kind,derived_color_device_timestamp_us,cmm_fractional_frame_counter,lower_camera_timecode_id,upper_camera_timecode_id,nearest_anchor_alignment_error_ms,camera_glove_valid
0,0,camera_timecode_anchor,1788012952816512.000,296350.791844,1,1,-1.734634,0
1,1,timestamp_inferred,1788012952849941.250,296353.896284,1,2,-1.734634,0
2,2,timestamp_inferred,1788012952883370.750,296357.000724,1,2,0.876364,1
3,3,camera_timecode_anchor,1788012952916800.000,296360.105164,2,2,0.876364,1
4,4,timestamp_inferred,1788012952950229.500,296364.169615,2,3,0.876364,1
5,5,camera_timecode_anchor,1788012952983659.000,296368.234066,3,3,1.950552,1
6,6,camera_timecode_anchor,1788012953017087.000,296376.249543,4,4,2.079529,1
7,7,timestamp_inferred,1788012953050515.000,296378.932305,4,5,2.079529,1
8,8,timestamp_inferred,1788012953083943.000,296381.615066,4,5,2.481891,1
9,9,camera_timecode_anchor,1788012953117371.000,296384.297827,5,5,2.481891,1
10,10,timestamp_inferred,1788012953150800.000,296388.383779,5,6,2.481891,1
11,11,camera_timecode_anchor,1788012953184229.000,296392.469731,6,6,3.914427,1
12,12,camera_timecode_anchor,1788012953217659.000,296400.521433,7,7,4.345274,0
13,13,timestamp_inferred,1788012953251091.250,296403.179930,7,8,4.345274,0
14,14,timestamp_inferred,1788012953284523.750,296405.838428,7,8,-4.192290,1
15,15,camera_timecode_anchor,1788012953317956.000,296408.496925,8,8,-4.192290,1
16,16,timestamp_inferred,1788012953351385.500,296412.619762,8,9,-4.192290,1
17,17,camera_timecode_anchor,1788012953384815.000,296416.742598,9,9,-2.145018,0
18,18,timestamp_inferred,1788012953418245.500,296420.556319,9,10,-2.145018,0
19,19,camera_timecode_anchor,1788012953451676.000,296424.370039,10,10,3.083660,1
20,20,timestamp_inferred,1788012953485105.000,296428.480279,10,11,3.083660,1
21,21,camera_timecode_anchor,1788012953518534.000,296432.590519,11,11,-3.412343,1
22,22,timestamp_inferred,1788012953551963.000,296436.606840,11,12,-3.412343,1
23,23,camera_timecode_anchor,1788012953585392.000,296440.623162,12,12,-3.140316,1
24,24,timestamp_inferred,1788012953618821.000,296444.677003,12,13,-3.140316,1
25,25,camera_timecode_anchor,1788012953652250.000,296448.730844,13,13,-2.242969,1
26,26,timestamp_inferred,1788012953685680.500,296452.809727,13,14,-2.242969,1
27,27,camera_timecode_anchor,1788012953719111.000,296456.888610,14,14,-0.928246,1
28,28,timestamp_inferred,1788012953752540.500,296460.992409,14,15,-0.928246,1
29,29,camera_timecode_anchor,1788012953785970.000,296465.096208,15,15,0.801730,1
30,30,timestamp_inferred,1788012953819399.000,296469.115904,15,16,0.801730,1
31,31,camera_timecode_anchor,1788012953852828.000,296473.135600,16,16,1.130001,1
32,32,timestamp_inferred,1788012953886258.500,296477.079177,16,17,1.130001,1
33,33,camera_timecode_anchor,1788012953919689.000,296481.022754,17,17,0.189618,1
34,34,timestamp_inferred,1788012953953118.500,296484.836077,17,18,0.189618,1
35,35,camera_timecode_anchor,1788012953986548.000,296488.649400,18,18,-2.921668,1
36,36,timestamp_inferred,1788012954019978.000,296492.659378,18,19,-2.921668,1
37,37,camera_timecode_anchor,1788012954053408.000,296496.669356,19,19,-2.755365,1
38,38,timestamp_inferred,1788012954086837.500,296500.736770,19,20,-2.755365,1
39,39,camera_timecode_anchor,1788012954120267.000,296504.804185,20,20,-1.631795,1
40,40,timestamp_inferred,1788012954153700.000,296508.891554,20,21,-1.631795,1
41,41,camera_timecode_anchor,1788012954187133.000,296512.978923,21,21,-0.175639,1
42,42,timestamp_inferred,1788012954220563.500,296516.954505,21,22,-0.175639,1
43,43,camera_timecode_anchor,1788012954253994.000,296520.930086,22,22,-0.582617,1
44,44,camera_timecode_anchor,1788012954287429.000,296528.995740,23,23,-0.035502,1
45,45,timestamp_inferred,1788012954320858.750,296531.730112,23,24,-0.035502,1
46,46,timestamp_inferred,1788012954354288.250,296534.464484,23,24,1.657129,1
47,47,camera_timecode_anchor,1788012954387718.000,296537.198855,24,24,1.657129,1
48,48,timestamp_inferred,1788012954421152.000,296541.064623,24,25,1.657129,1
49,49,camera_timecode_anchor,1788012954454586.000,296544.930390,25,25,-0.580087,0
50,50,camera_timecode_anchor,1788012954488007.000,296552.502776,26,26,4.189797,1
51,51,timestamp_inferred,1788012954521438.000,296556.382594,26,27,4.189797,1
52,52,camera_timecode_anchor,1788012954554869.000,296560.262412,27,27,2.186763,1
