output_frame,source_video_frame,source_video_nominal_pts_s,source_bag_elapsed_s,matched_clip_bag_elapsed_s,rgb_device_timestamp_us,cmavatar_target_timestamp_ns,mocap_low_frame_counter,mocap_high_frame_counter,mocap_low_timestamp_ns,mocap_high_timestamp_ns,interpolation_alpha,bracket_span_ms,nearest_mocap_sample_delta_ms,left_wrist_rgb_x,left_wrist_rgb_y,left_wrist_inside_frame,right_wrist_rgb_x,right_wrist_rgb_y,right_wrist_inside_frame
0,0,0.0,0.0,0.0,1788008995599487,1788008995967488000,403848,403849,1788008995965494016,1788008995973826560,0.23931330472103005,8.33272933959961,1.9941329956054688,1341.7757247880281,534.3084353283998,1,734.2010657230269,555.6134766061649,1
1,1,0.03333333333333333,0.033432960510253906,0.033432960510253906,1788008995632920,1788008996000922112,403852,403853,1788008995998826240,1788008996007160064,0.2515019740230017,8.333683013916016,2.095937728881836,1341.8181681119688,534.2691094372741,1,733.765077192654,555.4646337681819,1
2,2,0.06666666666666667,0.06686186790466309,0.06686186790466309,1788008995666349,1788008996034352384,403856,403857,1788008996032159488,1788008996040492288,0.2631473533619456,8.33272933959961,2.1927356719970703,1341.9909127801307,534.276414451746,1,733.4050582610239,555.325960924739,1
3,3,0.1,0.10028982162475586,0.10028982162475586,1788008995699777,1788008996067781376,403860,403861,1788008996065491712,1788008996073824768,0.2747846985780092,8.332967758178711,2.2897720336914062,1342.106106472468,534.206536042331,1,733.0506516298484,555.098808715339,1
4,4,0.13333333333333333,0.13371896743774414,0.13371896743774414,1788008995733206,1788008996101211648,403864,403865,1788008996098823936,1788008996107158016,0.28648262051208695,8.333921432495117,2.387523651123047,1342.2641921724835,534.3025783055293,1,732.821456237443,554.9257480619573,1
5,5,0.16666666666666666,0.16715788841247559,0.16715788841247559,1788008995766645,1788008996134651648,403868,403869,1788008996132157440,1788008996140490240,0.2993333524076564,8.332967758178711,2.494335174560547,1342.3054015993798,534.1298245489671,1,732.6854366893198,554.7141815442492,1
6,6,0.2,0.20059490203857422,0.20059490203857422,1788008995800082,1788008996168089856,403872,403873,1788008996165489664,1788008996173822464,0.31204577968526465,8.33272933959961,2.6001930236816406,1342.3585836948052,534.1990402569018,1,732.5633290582035,554.5342364105834,1
7,7,0.23333333333333334,0.23403096199035645,0.23403096199035645,1788008995833518,1788008996201527040,403876,403877,1788008996198822144,1788008996207155712,0.32459804314241575,8.333683013916016,2.705097198486328,1342.4151368225373,534.4401387777648,1,732.419359983339,554.3201192762815,1
8,8,0.26666666666666666,0.2674689292907715,0.2674689292907715,1788008995866956,1788008996234966272,403880,403881,1788008996232155392,1788008996240487936,0.3373390557939914,8.33272933959961,2.810955047607422,1342.3470186521733,534.5227799853385,1,732.2272625262506,554.1391032700855,1
9,9,0.3,0.30089902877807617,0.30089902877807617,1788008995900386,1788008996268397568,403884,403885,1788008996265487616,1788008996273820416,0.3492131616595136,8.33272933959961,2.9098987579345703,1342.25089587872,534.7807163768822,1,732.0645847697875,553.9545043865703,1
