output_frame,source_rgb_frame,mapping_kind,derived_color_device_timestamp_us,cmm_fractional_frame_counter,lower_camera_timecode_id,upper_camera_timecode_id,nearest_anchor_alignment_error_ms,camera_glove_valid
66,66,camera_timecode_anchor,1788012772970806.000,274767.968023,33,33,-0.266475,0
67,67,timestamp_inferred,1788012773004229.500,274772.085110,33,34,-0.266475,0
68,68,camera_timecode_anchor,1788012773037653.000,274776.202196,34,34,1.684970,1
69,69,timestamp_inferred,1788012773071079.500,274780.370598,34,35,1.684970,1
70,70,camera_timecode_anchor,1788012773104506.000,274784.539000,35,35,-3.841665,1
71,71,timestamp_inferred,1788012773137930.500,274788.657501,35,36,-3.841665,1
72,72,camera_timecode_anchor,1788012773171355.000,274792.776002,36,36,-1.866647,1
73,73,timestamp_inferred,1788012773204777.500,274796.846469,36,37,-1.866647,1
74,74,camera_timecode_anchor,1788012773238200.000,274800.916935,37,37,-0.692207,1
75,75,timestamp_inferred,1788012773271627.500,274804.913017,37,38,-0.692207,1
76,76,camera_timecode_anchor,1788012773305055.000,274808.909099,38,38,-0.757507,0
77,77,timestamp_inferred,1788012773338479.250,274812.014550,38,39,-0.757507,0
78,78,timestamp_inferred,1788012773371903.750,274815.120002,38,39,1.878773,1
79,79,camera_timecode_anchor,1788012773405328.000,274818.225453,39,39,1.878773,1
80,80,timestamp_inferred,1788012773438756.500,274822.320460,39,40,1.878773,1
81,81,camera_timecode_anchor,1788012773472185.000,274826.415467,40,40,3.462223,1
82,82,timestamp_inferred,1788012773505611.500,274830.450118,40,41,3.462223,1
83,83,camera_timecode_anchor,1788012773539038.000,274834.484770,41,41,-4.293586,0
84,84,timestamp_inferred,1788012773572464.000,274838.606183,41,42,-4.293586,0
85,85,camera_timecode_anchor,1788012773605890.000,274842.727595,42,42,-2.270039,1
86,86,camera_timecode_anchor,1788012773639319.000,274850.835881,43,43,-1.367657,0
87,87,timestamp_inferred,1788012773672746.250,274853.663609,43,44,-1.367657,0
88,88,timestamp_inferred,1788012773706173.750,274856.491336,43,44,2.658865,1
89,89,camera_timecode_anchor,1788012773739601.000,274859.319064,44,44,2.658865,1
90,90,timestamp_inferred,1788012773773022.500,274863.363036,44,45,2.658865,1
91,91,camera_timecode_anchor,1788012773806444.000,274867.407008,45,45,3.391735,1
92,92,timestamp_inferred,1788012773839873.500,274871.470297,45,46,3.391735,1
93,93,camera_timecode_anchor,1788012773873303.000,274875.533586,46,46,-3.886785,1
94,94,timestamp_inferred,1788012773906730.000,274879.469085,46,47,-3.886785,1
95,95,camera_timecode_anchor,1788012773940157.000,274883.404585,47,47,3.371540,1
96,96,timestamp_inferred,1788012773973583.000,274887.439121,47,48,3.371540,1
97,97,camera_timecode_anchor,1788012774007009.000,274891.473658,48,48,-4.386186,1
98,98,camera_timecode_anchor,1788012774040430.000,274899.715327,49,49,-2.372272,1
99,99,timestamp_inferred,1788012774073854.750,274902.420006,49,50,-2.372272,1
100,100,timestamp_inferred,1788012774107279.250,274905.124685,49,50,-1.421974,0
101,101,camera_timecode_anchor,1788012774140704.000,274907.829363,50,50,-1.421974,0
