output_frame,source_depth_frame,bag_message_timestamp_ns,depth_device_timestamp_us,depth_frame_number,source_bag_elapsed_s,matched_clip_bag_elapsed_s,same_index_rgb_device_timestamp_us,depth_minus_rgb_device_timestamp_ms,cmavatar_target_timestamp_ns,mocap_low_frame_counter,mocap_high_frame_counter,mocap_low_timestamp_ns,mocap_high_timestamp_ns,interpolation_alpha,bracket_span_ms,nearest_mocap_sample_delta_ms,raw_valid_pixel_fraction,projected_joint_inside_count,projected_joint_nonzero_depth_count,left_wrist_depth_x,left_wrist_depth_y,left_wrist_inside_frame,right_wrist_depth_x,right_wrist_depth_y,right_wrist_inside_frame
0,0,1788008995600794077,1788008995600794,130811,0.0,0.0,1788008995599487,1.307011,1788008995968795392,403848,403849,1788008995965494016,1788008995973826560,0.3961945636623748,8.33272933959961,3.301382064819336,0.6031168619791667,42,22,522.7051149482226,279.3203310916681,1,242.62323358760727,286.1932050632073,1
1,1,1788008995634226084,1788008995634226,130812,0.0334320068359375,0.0334320068359375,1788008995632920,1.306057,1788008996002228480,403852,403853,1788008995998826240,1788008996007160064,0.4082508439663558,8.333683013916016,3.402233123779297,0.6021131727430555,42,21,522.7225199037255,279.3020565699123,1,242.41893785579936,286.1198150682901,1
2,2,1788008995667659044,1788008995667659,130813,0.0668647289276123,0.0668647289276123,1788008995666349,1.31011,1788008996035662336,403856,403857,1788008996032159488,1788008996040492288,0.4203719599427754,8.33272933959961,3.5028457641601562,0.6000895182291667,42,23,522.7922139224736,279.3092998645545,1,242.2477039932869,286.0562370028256,1
3,3,1788008995701090097,1788008995701090,130814,0.1002957820892334,0.1002957820892334,1788008995699777,1.313209,1788008996069094656,403860,403861,1788008996065491712,1788008996073824768,0.4323767560298704,8.332967758178711,3.6029815673828125,0.5983371310763889,42,21,522.8399055745418,279.28014912800546,1,242.0895159765878,285.948159438649,1
4,4,1788008995734525919,1788008995734526,130815,0.13373184204101562,0.13373184204101562,1788008995733206,1.319885,1788008996102531840,403864,403865,1788008996098823936,1788008996107158016,0.4449148905735946,8.333921432495117,3.7078857421875,0.5984537760416667,42,22,522.9032637926944,279.32605749803224,1,241.98309589012595,285.8686072998839,1
5,5,1788008995767961025,1788008995767961,130816,0.16716694831848145,0.16716694831848145,1788008995766645,1.31607,1788008996135968000,403868,403869,1788008996132157440,1788008996140490240,0.45729735915996683,8.332967758178711,3.8106441497802734,0.5885986328125,42,19,522.9249909644656,279.2488492703786,1,241.9201627290475,285.76643298706443,1
6,6,1788008995801394939,1788008995801395,130817,0.20060062408447266,0.20060062408447266,1788008995800082,1.312971,1788008996169402880,403872,403873,1788008996165489664,1788008996173822464,0.4696137339055794,8.33272933959961,3.9131641387939453,0.5877170138888889,42,20,522.9469367675695,279.282899735145,1,241.86205357355811,285.68380608299566,1
7,7,1788008995834830999,1788008995834831,130818,0.23403692245483398,0.23403692245483398,1788008995833518,1.312971,1788008996202840320,403876,403877,1788008996198822144,1788008996207155712,0.48217657492704696,8.333683013916016,4.018306732177734,0.5867974175347223,42,19,522.9677983322143,279.3930340195133,1,241.79430923250476,285.582803232404,1
8,8,1788008995868268013,1788008995868268,130819,0.2674739360809326,0.2674739360809326,1788008995866956,1.312017,1788008996236278528,403880,403881,1788008996232155392,1788008996240487936,0.4948211731044349,8.33272933959961,4.123210906982422,0.5866102430555555,42,21,522.9400165736934,279.42965256356837,1,241.70498544007597,285.50021115848165,1
9,9,1788008995901700974,1788008995901701,130820,0.3009066581726074,0.3009066581726074,1788008995900386,1.314879,1788008996269712384,403884,403885,1788008996265487616,1788008996273820416,0.5070100143061517,8.33272933959961,4.107952117919922,0.5835584852430555,42,19,522.8972004850632,279.5445058429905,1,241.63053416339812,285.4143927476333,1
10,10,1788008995935137033,1788008995935137,130821,0.33434271812438965,0.33434271812438965,1788008995933822,1.315116,1788008996303149824,403888,403889,1788008996298819840,1788008996307153664,0.5195537119153197,8.333921432495117,4.004001617431641,0.5826578776041667,42,19,522.860306223333,279.5488662767252,1,241.56820195738686,285.37299773034283,1
11,11,1788008995968573093,1788008995968573,130822,0.367779016494751,0.367779016494751,1788008995967258,1.315116,1788008996336587264,403892,403893,1788008996332153088,1788008996340486144,0.5321163915195559,8.332967758178711,3.8988590240478516,0.5827799479166667,42,21,522.8623290250146,279.5742366470861,1,241.50531350335075,285.3391958760408,1
12,12,1788008996002008915,1788008996002009,130823,0.401214599609375,0.401214599609375,1788008996000696,1.312971,1788008996370023936,403896,403897,1788008996365485312,1788008996373819392,0.5445858961521957,8.333921432495117,3.7953853607177734,0.5822292751736111,42,20,522.8480153048838,279.5846985641746,1,241.4609722590172,285.39146813302136,1
13,13,1788008996035444975,1788008996035445,130824,0.43465089797973633,0.43465089797973633,1788008996034132,1.312971,1788008996403461376,403900,403901,1788008996398818816,1788008996407151360,0.557167381974249,8.33272933959961,3.690004348754883,0.5803521050347222,42,20,522.8377063030118,279.5949187412648,1,241.4414767327516,285.49518091826246,1
14,14,1788008996068880081,1788008996068880,130825,0.46808600425720215,0.46808600425720215,1788008996067564,1.31607,1788008996436897792,403904,403905,1788008996432151040,1788008996440483840,0.5696423462088698,8.33272933959961,3.5860538482666016,0.5875027126736111,42,24,522.8520139648643,279.55806178262,1,241.4181846408004,285.67986943018,1
15,15,1788008996102314949,1788008996102315,130826,0.5015208721160889,0.5015208721160889,1788008996101001,1.313925,1788008996470333696,403908,403909,1788008996465483520,1788008996473817088,0.5819934771413858,8.333683013916016,3.4835338592529297,0.5860188802083334,42,22,522.8505289619844,279.55257363788337,1,241.42849912844065,285.9097056968678,1
16,16,1788008996135749102,1788008996135749,130827,0.5349550247192383,0.5349550247192383,1788008996134438,1.311064,1788008996503768832,403912,403913,1788008996498816768,1788008996507149568,0.5943061516452074,8.33272933959961,3.3805370330810547,0.5845296223958333,42,22,522.9071674794542,279.58774578371566,1,241.44593090896348,286.1315429078532,1
17,17,1788008996169186115,1788008996169186,130828,0.5683917999267578,0.5683917999267578,1788008996167875,1.311064,1788008996537206528,403916,403917,1788008996532148736,1788008996540481792,0.6069640353637951,8.332967758178711,3.275156021118164,0.5827446831597223,42,21,522.9835939628709,279.7672216756396,1,241.45756420788072,286.3107091335399,1
18,18,1788008996202621937,1788008996202622,130829,0.60182785987854,0.60182785987854,1788008996201304,1.317978,1788008996570644224,403920,403921,1788008996565481216,1788008996573815040,0.6195107995994851,8.333921432495117,3.1709671020507812,0.5819010416666667,42,20,523.0596434529092,280.09624399746986,1,241.4942738547473,286.47940273856256,1
19,19,1788008996236057997,1788008996236058,130830,0.6352639198303223,0.6352639198303223,1788008996234740,1.317978,1788008996604081408,403924,403925,1788008996598814464,1788008996607147520,0.6320563074017911,8.332967758178711,3.0660629272460938,0.5800320095486111,42,22,523.083704078011,280.23622055264826,1,241.52372458720077,286.6460478945264,1
20,20,1788008996269494057,1788008996269494,130831,0.6686997413635254,0.6686997413635254,1788008996268177,1.317025,1788008996637518336,403928,403929,1788008996632146944,1788008996640479488,0.6446351931330472,8.33272933959961,2.9611587524414062,0.5790445963541667,42,20,523.1211819068179,280.2490209146942,1,241.55166652371634,286.84505876640725,1
21,21,1788008996302931070,1788008996302931,130832,0.702136754989624,0.702136754989624,1788008996301614,1.317024,1788008996670956288,403932,403933,1788008996665479168,1788008996673812992,0.6572352234365165,8.333683013916016,2.8564929962158203,0.5775065104166667,42,21,523.2366724788216,280.29790023259596,1,241.62060228076143,287.05172708725775,1
22,22,1788008996336368084,1788008996336368,130833,0.7355740070343018,0.7355740070343018,1788008996335051,1.317024,1788008996704394240,403936,403937,1788008996698812416,1788008996707145216,0.6698712446351931,8.33272933959961,2.750873565673828,0.5775390625,42,22,523.4305311780163,280.40359452837123,1,241.70585415652488,287.1984317657065,1
23,23,1788008996369806051,1788008996369806,130834,0.7690119743347168,0.7690119743347168,1788008996368490,1.31607,1788008996737833216,403940,403941,1788008996732144640,1788008996740477440,0.6826700237475323,8.332967758178711,2.6443004608154297,0.5764946831597222,42,23,523.6174733128425,280.4744479157255,1,241.75182340444593,287.3160780732521,1
24,24,1788008996403244019,1788008996403244,130835,0.8024499416351318,0.8024499416351318,1788008996401927,1.317025,1788008996771271936,403944,403945,1788008996765477888,1788008996773810944,0.6953162999628051,8.332967758178711,2.538919448852539,0.5765407986111111,42,23,523.7363810289753,280.51642640945516,1,241.78730964038942,287.4263101674235,1
25,25,1788008996436675072,1788008996436675,130836,0.8358807563781738,0.8358807563781738,1788008996435363,1.312018,1788008996804704000,403948,403949,1788008996798810368,1788008996807143168,0.7072759005464794,8.332967758178711,2.439260482788086,0.5771864149305556,42,24,523.8247198484974,280.5975931218059,1,241.8182363621085,287.5982620116566,1
26,26,1788008996470110893,1788008996470111,130837,0.869316816329956,0.869316816329956,1788008996468800,1.310825,1788008996838141184,403952,403953,1788008996832142592,1788008996840476416,0.7197825775997712,8.333921432495117,2.3353099822998047,0.5745198567708333,42,24,523.9503196380161,280.8491496892943,1,241.83996113817824,287.75453289481385,1
27,27,1788008996503541946,1788008996503542,130838,0.9027478694915771,0.9027478694915771,1788008996502230,1.312017,1788008996871573504,403956,403957,1788008996865474816,1788008996873807616,0.7318741058655222,8.33272933959961,2.234220504760742,0.5770806206597222,42,21,524.1441332481343,281.0957344092341,1,241.83006389088692,287.90504846427314,1
28,28,1788008996536978006,1788008996536978,130839,0.9361836910247803,0.9361836910247803,1788008996535667,1.311063,1788008996905010432,403960,403961,1788008996898807296,1788008996907140096,0.7444349070100144,8.33272933959961,2.1295547485351562,0.5763780381944444,42,24,524.359210884352,281.1413951730775,1,241.82523699010807,288.0089891329836,1
29,29,1788008996570410967,1788008996570411,130840,0.9696168899536133,0.9696168899536133,1788008996569094,1.317024,1788008996938444544,403964,403965,1788008996932139520,1788008996940473344,0.7565727363753397,8.333921432495117,2.0287036895751953,0.5781439887152777,42,21,524.6551933149326,281.3977732868177,1,241.77523939757185,288.1445899401083,1
30,30,1788008996603847027,1788008996603847,130841,1.0030527114868164,1.0030527114868164,1788008996602532,1.315117,1788008996971881472,403968,403969,1788008996965472768,1788008996973805568,0.7690767073903465,8.332967758178711,1.924276351928711,0.577099609375,42,21,524.8354082951429,281.20318732073866,1,241.69138257334214,288.2434949175888,1
31,31,1788008996637283087,1788008996637283,130842,1.0364887714385986,1.0364887714385986,1788008996635969,1.314163,1788008997005318912,403972,403973,1788008996998804992,1788008997007139072,0.7816049206122158,8.333921432495117,1.8200874328613281,0.5779405381944445,42,21,524.99769131511,280.93529037954374,1,241.60647307200412,288.27988526246094,1
32,32,1788008996670717001,1788008996670717,130843,1.069922685623169,1.069922685623169,1788008996669409,1.307964,1788008997038754048,403976,403977,1788008997032138240,1788008997040471040,0.7939341917024321,8.33272933959961,1.7170906066894531,0.5760796440972222,42,21,525.1762556237715,280.6848409131092,1,241.55649674321404,288.22900484937844,1
33,33,1788008996704154015,1788008996704154,130844,1.1033599376678467,1.1033599376678467,1788008996702837,1.317025,1788008997072192512,403980,403981,1788008997065470720,1788008997073803520,0.8066666666666666,8.33272933959961,1.6109943389892578,0.5765869140625,42,21,525.4621114356305,280.63571115871815,1,241.47367120060835,288.1689269760851,1
