dataset_id,capture_date,segment_id,subject_id,role,split,modalities,source_path,duration_s,frame_count,clock_domain,sync_report,calibration_id,schema_version,status,sha256,notes
ds-20260829-align00,2026-08-29,00_210652,unknown,reference,na,RGB-D+CS400,同步整理_20260829_三段/00_210652_三秒视频对齐_无手套,3.0,,camera_device+Thor_monotonic,,calib-20260830-cs400-v1,v1,verified,,无有效手套数据；仅用于相机-MOCAP世界系标定
ds-20260829-take000,2026-08-29,Take_000,unknown,calibration,calib,RGB-D+MOCAP+glove,同步整理_20260829_三段/01_210814_Take_000,60.644,1815,camera_device+Thor_monotonic+CMAvatar_Windows,同步整理_20260829_三段/01_210814_Take_000/同步校验/common_interval_sync_report.json,calib-20260830-cs400-v1,v2,verified,,当前固定R+scale的唯一拟合段
ds-20260829-take001,2026-08-29,Take_001,unknown,evaluation,validation,RGB-D+MOCAP+glove,同步整理_20260829_三段/02_210955_Take_001,60.545,1812,camera_device+Thor_monotonic+CMAvatar_Windows,同步整理_20260829_三段/02_210955_Take_001/同步校验/common_interval_sync_report.json,calib-20260830-cs400-v1,v2,verified,,冻结Take_000配准；不参与R+scale拟合
ds-20260829-take002,2026-08-29,Take_002,unknown,evaluation,test,RGB-D+MOCAP+glove,同步整理_20260829_三段/03_211139_Take_002,60.476,1810,camera_device+Thor_monotonic+CMAvatar_Windows,同步整理_20260829_三段/03_211139_Take_002/同步校验/common_interval_sync_report.json,calib-20260830-cs400-v1,v2,verified,,冻结Take_000配准；当前stress/泛化段
